Job_Title,Job_Category,ISCO_4,ISCO_3,ISCO_2,ISCO_4_name,State,Company_Name,Employer_Category,Date_Posted,Employment_type,Salary,Description,Requirements,Benefits,Work_Type,Job_URL,City,Visa_Sponsorship,Job_ID,Scope_Category
Delivery Driver with Fleet Experience,Car / Taxi / Van Drivers (8322),8322,832,83,"Car, Taxi and Van Drivers",,Markthalle Neun GmbH,Direct Employer,2026-06-28,Part-time,,"Delivers and collects temperature-controlled goods to customers using a company van, handles loading and unloading, and is responsible for cleaning and maintaining the fleet. The role requires competent, friendly customer service during deliveries.",Class B driving license (up to 3.5t) with experience and enthusiasm for driving vans; passion for artisan and organic food products; enjoyment of direct customer contact; experience with business processes; independent and reliable working style.,Attractive hourly wage; growth-oriented company; pleasant and relaxed customer base; varied work in a committed team; inspiring environment among food producers and traders.,On-site,https://www.stepstone.de/stellenangebote--Auslieferungsfahrer-in-mit-Fuhrpark-Erfahrung-Kreuzberg-Berlin-Deutschland-Markthalle-Neun-GmbH--13305300-inline.html,Kreuzberg,,job-113,LOGISTICS
Electrician / Electrical Helper,Building & Related Electricians (7411),7411,741,74,Building and Related Electricians,Berlin,DSL ED GmbH,Direct Employer,2026-06-27,Full-time,,"Carries out electrical installation and repair work on buildings, including distribution board assembly, wiring, conduit work, lighting, and fault-finding. The role is open to qualified electricians as well as career starters and electrical helpers.",Completed vocational training as an electrician preferred; career starters and electrical helpers also welcome; knowledge of installation work an advantage; good German language skills (written and spoken); ability to work independently and as part of a team; driving license mandatory (company vehicle provided).,"Permanent full-time position; remuneration according to qualifications and experience, based on collective agreement or negotiation; work location: Berlin.",On-site,https://www.stepstone.de/stellenangebote--ELEKTRIKER-auch-ELEKTROHELFER-m-w-d-Berlin-DSL-ED-GmbH--14203231-inline.html,Berlin,,job-114,LOGISTICS
Forklift Operator,Lifting Truck / Forklift Operators (8344),8344,834,83,Lifting Truck Operators,Berlin,Müller-Zeiner Industrieverpackungen GmbH,Direct Employer,2026-06-27,Full-time,,"Operates counterbalance forklifts for loading and unloading trucks and internal material transport of loads up to 12 tonnes, including storage of goods in designated warehouse areas. Also supports order picking, packaging, and sorting processes, and ensures order, cleanliness, and safety in the warehouse.","Valid forklift license and proven experience operating industrial trucks; experience in logistics or warehousing preferred; reliable, independent working style and team orientation; good German language skills; willingness to work shifts (early and late).",Up to €600 tax-free via PluxxeBenefits card; mobility allowance; shift supplements; company pension scheme; employer contribution to capital-forming benefits; BusinessBike leasing; training and development programs; thorough onboarding.,On-site,https://www.stepstone.de/stellenangebote--Staplerfahrer-in-m-w-d-Berlin-Mueller-Zeiner-Industrieverpackungen-GmbH--13958408-inline.html,Berlin,,job-115,LOGISTICS
Parcel Delivery Driver On-Call / Mini-Job / Temporary,Car / Taxi / Van Drivers (8322),8322,832,83,"Car, Taxi and Van Drivers",Berlin,Deutsche Post & DHL,Direct Employer,2026-06-27,Full-time,,"Delivers parcel consignments independently using a company delivery vehicle on an on-call basis in the Berlin-Britz delivery center, including accepting, sorting, and organizing parcels prior to dispatch. Short-notice assignments are carried out by mutual agreement.",Good conversational German or English (mandatory); physically resilient and flexible availability; reliable and committed; minimum age 18; valid EU class B driving license held for at least 2 years.,Tariff hourly wage of €17.20; job security with guaranteed pay increases per collective agreement and punctual salary payments; flexible working (Monday to Saturday); mini-job / daily work contracts possible; induction training provided.,On-site,https://www.stepstone.de/stellenangebote--Paketzusteller-Abrufkraft-Minijob-Aushilfe-m-w-d-in-der-ZB-Berlin-Britz-Berlin-Neukoelln-Deutsche-Post-DHL--12849012-inline.html,Berlin Neukölln,,job-116,LOGISTICS
Parcel Delivery Driver On-Call / Mini-Job / Temporary,Car / Taxi / Van Drivers (8322),8322,832,83,"Car, Taxi and Van Drivers",Berlin,Deutsche Post & DHL,Direct Employer,2026-06-27,Full-time,,"Delivers parcel consignments independently using a company delivery vehicle on an on-call basis in the Berlin-Spandau delivery center, including accepting, sorting, and organizing parcels prior to dispatch. Short-notice assignments are carried out by mutual agreement.",Good conversational German or English (mandatory); physically resilient and flexible availability; reliable and committed; minimum age 18; valid EU class B driving license held for at least 2 years.,Tariff hourly wage of €17.20; job security with guaranteed pay increases per collective agreement and punctual salary payments; flexible working (Monday to Saturday); mini-job / daily work contracts possible; induction training provided.,On-site,https://www.stepstone.de/stellenangebote--Paketzusteller-Abrufkraft-Minijob-Aushilfe-m-w-d-in-der-ZB-Spandau-Berlin-Spandau-Deutsche-Post-DHL--12848913-inline.html,Berlin Spandau,,job-117,LOGISTICS
Parcel Delivery Driver On-Call / Mini-Job / Temporary,Car / Taxi / Van Drivers (8322),8322,832,83,"Car, Taxi and Van Drivers",Brandenburg,Deutsche Post & DHL,Direct Employer,2026-06-27,Full-time,,"Delivers parcel consignments independently using a company delivery vehicle on an on-call basis in the Potsdam delivery center, including accepting, sorting, and organizing parcels prior to dispatch. Short-notice assignments are carried out by mutual agreement.",Good conversational German or English (mandatory); physically resilient and flexible availability; reliable and committed; minimum age 18; valid EU class B driving license held for at least 2 years.,Tariff hourly wage of €17.20; job security with guaranteed pay increases per collective agreement and punctual salary payments; flexible working (Monday to Saturday); mini-job / daily work contracts possible; induction training provided.,On-site,https://www.stepstone.de/stellenangebote--Paketzusteller-Abrufkraft-Minijob-Aushilfe-m-w-d-in-der-ZB-Potsdam-Potsdam-Deutsche-Post-DHL--12848924-inline.html,Potsdam,,job-118,LOGISTICS
Parcel Delivery Driver On-Call / Mini-Job / Temporary,Car / Taxi / Van Drivers (8322),8322,832,83,"Car, Taxi and Van Drivers",Berlin,Deutsche Post & DHL,Direct Employer,2026-06-27,Full-time,,"Delivers parcel consignments independently using a company delivery vehicle on an on-call basis in the Berlin-Charlottenburg delivery center, including accepting, sorting, and organizing parcels prior to dispatch. Short-notice assignments are carried out by mutual agreement.",Good conversational German or English (mandatory); physically resilient and flexible availability; reliable and committed; minimum age 18; valid EU class B driving license held for at least 2 years.,Tariff hourly wage of €17.20; job security with guaranteed pay increases per collective agreement and punctual salary payments; flexible working (Monday to Saturday); mini-job / daily work contracts possible; induction training provided.,On-site,https://www.stepstone.de/stellenangebote--Paketzusteller-Abrufkraft-Minijob-Aushilfe-m-w-d-in-der-ZB-Berlin-Charlottenburg-Berlin-Charlottenburg-Wilmersdorf-Deutsche-Post-DHL--12848955-inline.html,Berlin Charlottenburg-Wilmersdorf,,job-119,LOGISTICS
Parcel Delivery Driver On-Call / Mini-Job / Temporary,Car / Taxi / Van Drivers (8322),8322,832,83,"Car, Taxi and Van Drivers",Berlin,Deutsche Post & DHL,Direct Employer,2026-06-27,Full-time,,"Delivers parcel consignments independently using a company delivery vehicle on an on-call basis in the Berlin-Reinickendorf delivery center, including accepting, sorting, and organizing parcels prior to dispatch. Short-notice assignments are carried out by mutual agreement.",Good conversational German or English (mandatory); physically resilient and flexible availability; reliable and committed; minimum age 18; valid EU class B driving license held for at least 2 years.,Tariff hourly wage of €17.20; job security with guaranteed pay increases per collective agreement and punctual salary payments; flexible working (Monday to Saturday); mini-job / daily work contracts possible; induction training provided.,On-site,https://www.stepstone.de/stellenangebote--Paketzusteller-Abrufkraft-Minijob-Aushilfe-m-w-d-in-der-ZB-Reinickendorf-Berlin-Reinickendorf-Deutsche-Post-DHL--12848892-inline.html,Berlin Reinickendorf,,job-120,LOGISTICS
Parcel Delivery Driver On-Call / Mini-Job,Car / Taxi / Van Drivers (8322),8322,832,83,"Car, Taxi and Van Drivers",Berlin,Deutsche Post & DHL,Direct Employer,2026-06-27,Full-time,,"Delivers parcel shipments on an on-call basis using a company delivery vehicle, including accepting, sorting, and independently delivering packages to recipients.",Good German or English communication skills; physically fit and flexible; reliable; at least 18 years old; valid EU Class B driving licence held for at least 2 years.,Tariff hourly wage of €17.20; job security with guaranteed pay increases per collective agreement; flexible working Monday to Saturday; mini-job / daily contract arrangements available; onboarding provided.,On-site,https://www.stepstone.de/stellenangebote--Paketzusteller-Abrufkraft-Minijob-in-der-ZB-Berlin-Mariendorf-m-w-d-Berlin-Tempelhof-Schoeneberg-Deutsche-Post-DHL--12849013-inline.html,Berlin Tempelhof-Schöneberg,,job-121,LOGISTICS
Driver (Short-Term Employment),Car / Taxi / Van Drivers (8322),8322,832,83,"Car, Taxi and Van Drivers",Berlin,Berlin Cuisine Jensen GmbH,Direct Employer,2026-06-27,Full-time,,"Responsible for efficient and punctual delivery of goods to customers, conducting shopping and courier runs, loading and unloading at event locations or headquarters, and supporting on-site at events as needed. Also handles warehouse receipt, sorting, and returns of goods and equipment.","Ideally vocational training or initial experience as a driver, warehouse worker, logistician, or in banquet/events; active and engaged attitude; German language skills required; motivated and reliable.",Attractive remuneration; family-like team environment; autonomous working; professional development and support.,On-site,https://www.stepstone.de/stellenangebote--Fahrer-kurzfristig-beschaeftigt-m-w-d-Berlin-Headquarters-Berlin-Cuisine-Jensen-GmbH--13883605-inline.html,Berlin - Headquarters,,job-122,LOGISTICS
Parcel Delivery Driver On-Call / Mini-Job,Car / Taxi / Van Drivers (8322),8322,832,83,"Car, Taxi and Van Drivers",Berlin,Deutsche Post & DHL,Direct Employer,2026-06-27,Full-time,,"Delivers parcel shipments on an on-call basis using a company delivery vehicle in the Berlin-Pankow area, including accepting, sorting, and independently delivering packages.",Good German or English communication skills; physically fit and flexible; reliable; at least 18 years old; valid EU Class B driving licence held for at least 2 years.,Tariff hourly wage of €17.20; job security with guaranteed pay increases per collective agreement; flexible working Monday to Saturday; mini-job / daily contract arrangements available; onboarding provided.,On-site,https://www.stepstone.de/stellenangebote--Paketzusteller-Abrufkraft-Minijob-Aushilfe-m-w-d-in-der-ZB-Berlin-Pankow-Berlin-Pankow-Deutsche-Post-DHL--12848978-inline.html,Berlin Pankow,,job-123,LOGISTICS
